Person ID,X,Y
248,1339,531
248,1350,534
248,1353,546
248,1355,557
248,1393,513
248,1398,520
248,1403,527
248,1409,534
248,1414,541
248,1440,492
248,1447,494
248,1455,496
248,1461,498
248,1469,501
248,1476,503
248,1483,505
248,1490,507
248,1497,509
248,1505,511
248,1511,513
248,1519,515
248,1526,517
248,1533,519
248,1540,521
248,1547,523
248,1554,526
248,1270,324
248,1261,315
248,1253,306
248,1244,297
248,1235,288
248,1227,279
248,1218,271
248,1209,261
248,1200,252
248,1192,243
248,1183,235
248,1175,226
248,1166,217
248,1157,207
248,1148,198
248,1140,190
248,1131,181
248,1122,172
248,1114,163
248,1105,154
248,1096,145
248,1088,136
248,1079,127
248,1070,118
248,1061,110
248,1053,101
248,1044,92
248,1036,82
248,1027,73
248,1018,65
248,1009,56
257,291,593
257,258,606
257,225,619
257,192,631
257,159,644
257,126,657
257,93,669
257,60,682
257,27,695
257,-6,708
257,-39,720
257,-71,733
257,-104,746
257,-137,758
257,-170,771
257,-203,784
257,-236,796
257,-269,809
257,-302,822
257,-335,835
257,-368,847
257,-401,860
257,-434,873
257,-467,885
257,-500,898
257,-533,911
257,-565,924
257,-599,936
271,885,114
271,870,105
271,866,101
271,867,100
271,875,97
271,883,100
271,887,98
271,897,97
271,902,97
271,908,98
271,909,96
271,909,95
271,909,93
271,909,91
271,910,89
271,910,88
271,910,86
271,910,84
271,911,82
271,911,80
271,911,78
271,912,76
271,912,75
271,912,73
271,913,71
271,913,69
271,913,67
271,914,65
271,914,63
271,914,61
271,915,59
271,915,58
271,915,56
271,915,54
271,916,52
271,916,50
271,916,48
271,916,46
271,917,44
271,917,42
277,1135,210
277,1140,212
277,1146,213
277,1152,215
277,1157,216
277,1163,217
277,1168,219
277,1174,220
277,1180,222
277,1185,223
277,1191,225
277,1197,226
277,1202,228
277,1208,229
277,1214,230
277,1219,232
277,1225,233
277,1230,234
277,1236,236
277,1242,237
277,1247,239
277,1253,240
277,1259,242
277,1264,243
277,1270,245
277,1276,246
277,1281,247
277,1287,249
277,1292,250
277,1298,251
279,1162,167
279,1163,166
279,1163,166
279,1164,165
279,1165,164
279,1166,163
279,1167,162
279,1168,161
279,1169,161
279,1169,160
279,1170,159
279,1171,159
279,1172,158
279,963,131
279,960,133
279,956,136
279,952,134
279,950,134
279,954,134
279,952,135
279,954,133
279,955,134
279,948,133
279,945,132
279,944,132
279,944,133
279,944,133
279,944,133
279,944,133
279,944,133
279,944,133
279,944,133
279,946,133
279,945,133
279,946,133
279,946,134
279,945,134
279,945,134
279,945,134
279,945,134
279,945,133
279,946,135
279,946,135
279,945,135
279,946,135
279,946,134
279,946,134
279,946,134
279,947,135
279,947,135
279,947,135
279,946,135
279,947,135
279,950,135
279,951,134
279,952,134
279,951,134
279,952,134
279,954,134
279,953,134
279,953,133
279,953,134
279,951,134
279,951,133
279,951,134
279,951,134
279,951,135
279,951,135
279,952,135
279,951,135
279,950,136
279,949,136
279,950,136
279,950,135
279,949,136
279,948,135
279,947,136
279,947,136
279,947,136
279,947,136
279,946,136
279,947,137
279,947,136
279,946,136
279,945,136
279,945,136
279,945,136
279,946,136
279,948,135
279,948,136
279,948,136
279,948,137
279,947,137
279,947,138
279,946,138
279,946,138
279,946,137
279,948,137
279,947,137
279,946,136
279,946,134
279,944,134
279,945,135
279,945,133
279,945,133
279,946,132
279,946,133
279,945,133
279,945,133
279,944,133
279,945,133
279,948,133
279,951,132
279,954,132
279,952,131
279,952,131
279,944,115
279,938,130
279,936,135
279,924,130
279,921,130
279,918,130
279,916,131
279,914,131
279,911,131
279,909,131
279,906,132
279,904,132
279,901,131
279,898,132
279,896,132
279,893,132
279,891,132
279,889,132
279,886,133
279,884,133
279,881,133
279,879,133
279,876,133
279,873,134
279,871,134
279,868,134
279,866,134
279,863,134
279,861,134
279,859,134
279,856,135
279,854,135
279,851,135
279,933,136
279,934,137
279,937,136
279,938,137
279,960,131
279,972,133
279,977,136
279,984,136
279,991,127
279,995,132
279,1000,132
279,1006,131
279,1011,131
279,1017,131
279,1022,131
279,1028,130
279,1033,131
279,1039,130
279,1044,130
279,1050,130
279,1055,130
279,1060,129
279,1066,129
279,1071,129
279,1077,129
279,1082,129
279,1088,128
279,1094,128
279,1099,128
279,1105,128
279,1110,127
279,1116,127
279,1121,127
279,1126,127
279,1256,209
279,1268,215
279,1279,218
279,1289,221
279,1300,224
279,1235,232
279,1242,231
279,1241,257
279,1234,278
279,1243,288
279,1249,285
279,1250,284
279,1294,309
279,1301,316
279,1309,323
279,1316,330
279,1323,337
279,1330,344
279,1338,351
279,1345,358
279,1352,365
279,1360,372
279,1367,379
279,1374,386
279,1381,393
279,1389,400
279,1396,407
279,1403,415
279,1249,280
279,1248,279
279,1246,279
279,1323,308
279,1342,311
279,1350,314
279,1343,306
279,1346,312
279,1334,318
279,1326,316
279,1322,318
279,1311,324
279,1308,343
279,1309,350
279,1310,355
279,1310,359
279,1311,364
279,1311,368
279,1311,373
279,1312,378
279,1312,382
279,1312,387
